x_target,y_target,angle_target,k1_target,k2_target,x,y,angle,k1,k2,time
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.42648178159010275,-0.17826907381916574,5.733725266830061,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.4180169637742017,-0.1713863830809741,5.74707384886753,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.4096367941364597,-0.16457251925016436,5.760288945084626,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.40134042619509513,-0.15782679405766273,5.77337189033955,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.3931270219331442,-0.1511485261170861,5.786324006141925,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.38499575171381273,-0.14453704085591523,5.799146600786276,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.3769457941966746,-0.13799167044735608,5.811840969484184,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.3689763362547079,-0.13151175374288251,5.824408394495112,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.3610865728921608,-0.1250966362054537,5.836850145255932,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.3532757071632392,-0.11874566984339915,5.849167478509143,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.3455429500916068,-0.11245821314496517,5.8613616384298215,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.3378875205906907,-0.10623363101351552,5.873433856751293,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.3303086453847838,-0.10007129470338036,5.885385352889551,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.322805558930936,-0.09397058175634655,5.897217334066426,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.3153775033416266,-0.08793087593878308,5.908930995431532,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.30802372830821034,-0.08195156717939525,5.920527520182986,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.30074349102512826,-0.0760320515076013,5.932008079686927,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.293536056114877,-0.07017173099252529,5.943373833595828,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.2864006955537282,-0.06437001368260004,5.9546259299656406,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.27933668859819094,-0.058626313545774036,5.965765505371754,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.27234332171220904,-0.0529400504103163,5.976793685023807,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.26541988849508696,-0.047310649906213136,5.9877115828793395,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.2585656896101361,-0.041737543407151,5.998520301756316,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.2517800327140347,-0.03622016797307949,6.0092209334445235,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.24506223238689437,-0.030757966293348694,6.019814558815849,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.23841161006302541,-0.02535038663041521,6.030302247933461,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.23182749396239516,-0.019996882764111056,6.0406850601598965,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.2253092190227712,-0.014696913936469946,6.0509640442640675,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.2188561268325435,-0.009449944797105246,6.061140238527197,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.21246756556421806,-0.004255445349134193,6.071214670847695,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.20614288990857588,0.000887109104357151,6.081188358844988,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.1998814610094901,0.00597823801331358,6.091062309962309,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.1936826463993952,0.011018455633180445,6.100837521568456,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.18754581993540126,0.016008271076848643,6.110514981058542,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.18147036173604725,0.02094818836608016,6.120095665953727,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.17545565811868677,0.025838706482419357,6.1295805439999596,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.1695011015374999,0.030680319417595164,6.1389705732657305,-3.44,-3.327,22:25:42
0.42,0.51,0.7853981633974483,-3.44,-3.327,-0.16360609052212488,0.03547351622341921,6.1482667022388435,-3.44,-3.327,22:25:42
