x,y,angle,k1,k2,x_head,y_head,theta_head,x_tail,y_tail,theta_tail,w1_x,w1_y,w2_x,w2_y,w3_x,w3_y,w4_x,w4_y,time,path_x,path_y,state1,state2,state3
-0.19201419419389232,-0.44498430353616886,0.08109077957552151,1.9158079316269283,1.5078901517175642,-0.3232193696151151,-0.46298403788004355,6.216758876019834,-0.05971402279700023,-0.44451981235499327,0.19719832125777395,-0.3513225673461294,-0.46909711807033244,-0.31342098873041213,-0.49673260862933294,-0.035206284308483576,-0.44761712220204364,-0.07039380360785821,-0.47819225074725397,17:22:25,-0.1935142163024969,-0.44511533907644124,0.6864857836975031,1.286485783697503,1.796485783697503
-0.19025916027417675,-0.4448003179753976,0.06561621956514327,1.9158079316269283,1.5078901517175642,-0.3217271535343926,-0.4607676359059623,6.201284316009456,-0.057967641483713875,-0.44638308764184353,0.1817237612473957,-0.35065872044818885,-0.46115865412326934,-0.31456791032653386,-0.4911203534202493,-0.03274699099410063,-0.4391319374732424,-0.06472061232875195,-0.4730537230799632,17:22:25,-0.1835142163024969,-0.44493903887998665,-0.7276498226047592,-0.06572643948814055,-0.4829915759220322
-0.18855680508910203,-0.44462189398691726,0.05029636222316238,1.9158079316269283,1.5078901517175642,-0.320253978476026,-0.4585733460854765,6.185964458667475,-0.056305057131391376,-0.4482310858403078,0.16640390390541482,-0.3491349732088556,-0.4585178757649434,-0.3135121097997074,-0.4890344549069962,-0.030920466740467844,-0.44141314414032223,-0.06341516367509598,-0.47483611036306594,17:22:25,-0.17351421630249692,-0.4444109376869245,3.8820613772435153,5.8459279607716725,3.419181878873971
-0.1869055464874999,-0.44444877315770415,0.03512974092848556,1.9158079316269283,1.5078901517175642,-0.31879916152978705,-0.4564012961064743,6.170797837372798,-0.05472374608252251,-0.4500632851937697,0.151237282610738,-0.347624117276519,-0.4559039824830894,-0.3124729254454976,-0.4869626964432446,-0.02918492043816592,-0.443676068195911,-0.062187819272487864,-0.4765973176942443,17:22:25,-0.1635142163024969,-0.4435334309676383,19.24936574848622,4.071547974641192,2.228111268400731
-0.18530378817037388,-0.44428089873548415,0.020114930564221808,1.9158079316269283,1.5078901517175642,-0.3173619942672253,-0.4542517911852817,6.1557830270085345,-0.053221184983444525,-0.4518793879977364,0.13622247224647424,-0.3461256687885922,-0.45331714289457475,-0.3114495574246883,-0.4849053891370956,-0.027537646924131416,-0.4459200965002479,-0.06103603504390498,-0.4783370364140802,17:22:25,-0.1535142163024969,-0.4423105021192472,-15.998182392415753,-12.49821452880086,11.003756415075323
-0.18375010638805386,-0.44411805592981984,0.005250080236953673,1.9158079316269283,1.5078901517175642,-0.3159419330792409,-0.4521248936208863,6.140918176681266,-0.05179504191372833,-0.45367902153382655,0.12135762191920611,-0.34463911504245265,-0.4507576987117403,-0.3104411860811344,-0.48286301999586123,-0.02597594339104951,-0.44814484511111313,-0.059957271484583394,-0.48005517793607133,17:22:25,-0.1435142163024969,-0.4407477089140651,,,
-0.1822430470974869,-0.4439601178412663,-0.0094659718083178,1.9158079316269283,1.5078901517175642,-0.3145383849587337,-0.45002081697110735,6.126202124635995,-0.0504429651931477,-0.4554618357005205,0.10664156987393464,-0.34316410303327644,-0.4482257317886965,-0.30944717547443534,-0.4808358344563034,-0.024497298994962825,-0.45034987276259575,-0.058949197689139435,-0.48175157138490265,17:22:25,-0.1335142163024969,-0.43885216458483656,,,
-0.18048118682933792,-0.44374028852780595,-0.023838254395461483,1.9158079316269283,1.5078901517175642,-0.3128499643792639,-0.44789904118961554,6.111829842048851,-0.0488600174167044,-0.4571350213043579,0.09226928728679096,-0.3417002291222119,-0.4457214889260602,-0.3084668270504528,-0.4788242227517853,-0.02309918789220017,-0.45253474791294274,-0.05800944851661495,-0.4834260687512532,17:22:25,-0.1235142163024969,-0.4366325136039484,,,
-0.17877217719489302,-0.443527045568964,-0.03806638896202645,1.9158079316269283,1.5078901517175642,-0.31118672591162816,-0.4458020800538177,6.097601707482286,-0.04735490587024527,-0.45879308307999883,0.07804115272022599,-0.3399472142513908,-0.4432097929164359,-0.307192989973995,-0.47678673131150195,-0.0214769966821916,-0.4546012147897948,-0.056827615301038276,-0.48498762233107634,17:22:25,-0.1135142163024969,-0.4340989022298793,,,
-0.17711443047277614,-0.4433201821905653,-0.052152288410417934,1.9158079316269283,1.5078901517175642,-0.30954788789898613,-0.44372987464122415,6.083515808033895,-0.0459252251098516,-0.4604357744955024,0.06395525327183452,-0.33821451604455965,-0.44072777610842667,-0.30594132816989994,-0.47476733169317126,-0.01993860667207985,-0.45664912919134487,-0.05571797447341183,-0.48652950468659273,17:22:25,-0.10351421630249691,-0.4312629439100062,,,
