,model_id,marker_id,marker_x,marker_y,marker_z
0,2,1,0.44258034229278564,0.0019864856731146574,0.2979395389556885
1,2,2,0.5389147400856018,0.0024040432181209326,0.12985913455486298
2,2,3,0.4295486807823181,0.0003001863369718194,0.1389690339565277
3,1,1,0.09545190632343292,0.1511218547821045,0.19910210371017456
4,1,2,0.06513547897338867,0.14786869287490845,0.1417352557182312
5,1,3,0.03614991530776024,0.14514628052711487,0.22817130386829376
6,0,50000,-0.1784299910068512,0.14455536007881165,0.08441832661628723
7,0,50001,-0.11383306980133057,0.06779864430427551,0.24112819135189056
8,2,1,0.44257813692092896,0.0019718243274837732,0.2979329228401184
9,2,2,0.5388916730880737,0.002464467193931341,0.12991884350776672
10,2,3,0.429555743932724,0.00030607118969783187,0.13896268606185913
11,1,1,0.09546169638633728,0.15111006796360016,0.19909517467021942
12,1,2,0.06513442099094391,0.14787255227565765,0.14172406494617462
13,1,3,0.03615592420101166,0.14514409005641937,0.22817763686180115
14,0,50000,-0.17843244969844818,0.1445520520210266,0.08442018181085587
15,0,50001,-0.11383961886167526,0.06778942793607712,0.24113398790359497
16,2,1,0.4425817131996155,0.0019835950806736946,0.29792892932891846
17,2,2,0.5389147400856018,0.0024072660598903894,0.12986016273498535
18,2,3,0.429558128118515,0.00031372960074804723,0.13895651698112488
19,1,1,0.09545308351516724,0.15111440420150757,0.19909673929214478
20,1,2,0.06514042615890503,0.14786870777606964,0.14173194766044617
21,1,3,0.03615168109536171,0.14513742923736572,0.22817540168762207
22,0,50000,-0.17843078076839447,0.1445552557706833,0.08442135900259018
23,0,50001,-0.11383889615535736,0.06778004765510559,0.24113117158412933
24,2,1,0.4425794780254364,0.0019750744104385376,0.2979336678981781
25,2,2,0.5388994812965393,0.002472667722031474,0.12992271780967712
26,2,3,0.42955633997917175,0.0003068323421757668,0.13896547257900238
27,1,1,0.09545194357633591,0.1511174887418747,0.19909851253032684
28,1,2,0.06514161825180054,0.14785873889923096,0.14173516631126404
29,1,3,0.036150749772787094,0.14514347910881042,0.22817622125148773
30,0,50000,-0.1784258335828781,0.14454826712608337,0.08442367613315582
31,0,50001,-0.11384707689285278,0.06778322160243988,0.24113912880420685
32,2,1,0.442586749792099,0.0019847850780934095,0.29793503880500793
33,2,2,0.5388985872268677,0.002468548947945237,0.12992286682128906
34,2,3,0.4295564591884613,0.00031225066049955785,0.1389598846435547
35,1,1,0.09545621275901794,0.15112046897411346,0.19910186529159546
36,1,2,0.06513973325490952,0.14785978198051453,0.14173206686973572
37,1,3,0.03616299852728844,0.1451573222875595,0.2281750589609146
38,0,50000,-0.1784304976463318,0.14456075429916382,0.08442118018865585
39,0,50001,-0.11383447796106339,0.06779348105192184,0.24113143980503082
40,2,1,0.4425871968269348,0.0019732434302568436,0.29793205857276917
41,2,2,0.5389087796211243,0.002406436949968338,0.12985201179981232
42,2,3,0.42955848574638367,0.00031576596666127443,0.13896478712558746
43,1,1,0.09546031057834625,0.1511295586824417,0.19910474121570587
44,1,2,0.06514159590005875,0.14785617589950562,0.14173507690429688
45,1,3,0.03615380451083183,0.14514347910881042,0.22817307710647583
46,0,50000,-0.17842617630958557,0.14455752074718475,0.084421306848526
47,0,50001,-0.11383956670761108,0.06778702139854431,0.2411322444677353
48,2,1,0.4425889551639557,0.001981257228180766,0.2979319393634796
49,2,2,0.5388972163200378,0.002459294628351927,0.12991972267627716
50,2,3,0.42956146597862244,0.00030570017406716943,0.13895896077156067
51,1,1,0.09544817358255386,0.15111775696277618,0.1991014927625656
52,1,2,0.0651359111070633,0.14785483479499817,0.14173676073551178
53,1,3,0.036158353090286255,0.14514745771884918,0.22817671298980713
54,0,50000,-0.17842860519886017,0.14454703032970428,0.08442291617393494
55,0,50001,-0.11383895576000214,0.06779459118843079,0.24113109707832336
56,2,1,0.4425825774669647,0.001975764287635684,0.2979343831539154
57,2,2,0.5388934016227722,0.0024618515744805336,0.12993021309375763
58,2,3,0.4295518696308136,0.0003074011765420437,0.13896544277668
59,1,1,0.09545180201530457,0.1511138528585434,0.19910798966884613
60,1,2,0.0651361346244812,0.1478613018989563,0.1417349874973297
61,1,3,0.03616354614496231,0.14515668153762817,0.2281809151172638
62,0,50000,-0.1784239262342453,0.14455653727054596,0.0844203382730484
63,0,50001,-0.11383745074272156,0.06779354065656662,0.2411339282989502
64,2,1,0.44258782267570496,0.001987822586670518,0.2979358434677124
65,2,2,0.5388964414596558,0.0024644930381327868,0.12992843985557556
66,2,3,0.4295555651187897,0.0003104560310021043,0.13896535336971283
67,1,1,0.09545906633138657,0.15112532675266266,0.19910432398319244
68,1,2,0.06513769179582596,0.147854745388031,0.14173653721809387
69,1,3,0.036149803549051285,0.14514940977096558,0.22817310690879822
70,0,50000,-0.17842021584510803,0.14455410838127136,0.08442868292331696
71,0,50001,-0.11383642256259918,0.06778708100318909,0.24113240838050842
72,2,1,0.4425792694091797,0.0019775095861405134,0.2979367971420288
73,2,2,0.5389192700386047,0.0023940426763147116,0.12986113131046295
74,2,3,0.42956164479255676,0.00030676781898364425,0.13896317780017853
75,1,1,0.0954563096165657,0.15111948549747467,0.19910141825675964
76,1,2,0.06513151526451111,0.14786359667778015,0.14173153042793274
77,1,3,0.036160100251436234,0.14515383541584015,0.22817513346672058
78,0,50000,-0.17842809855937958,0.14455264806747437,0.08442091196775436
79,0,50001,-0.11384005844593048,0.06778962165117264,0.24113234877586365
